"Original File","Publication_Place","CountryCode","752string","752a","752b","752d","752e",7524,"FAST_URI","Geonames_URI","geonames_ID","latitude","longitude"
"Alma Data","'s Graven-Hage","ne","Netherlands$dHague,","Netherlands","no value","Hague,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204787","https://sws.geonames.org/2747372",2747372,52.06866,4.28635
"Alma Data","A Aix","fr","France$dAix-en-Provence","France","no value","Aix-en-Provence,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1206083","http://sws.geonames.org/3038354",3038354,43.5283,5.44973
"Alma Data","A Amsterdam","ne","Netherlands$dAmsterdam,","Netherlands","no value","Amsterdam,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204180","http://sws.geonames.org/2759794",2759794,52.37403,4.88969
"Alma Data","A Amsterdam ","ne","Netherlands$dAmsterdam,","Netherlands","no value","Amsterdam,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204180","http://sws.geonames.org/2759794",2759794,52.37403,4.88969
"Alma Data","A Amsterdam.","ne","Netherlands$dAmsterdam,","Netherlands","no value","Amsterdam,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204180","http://sws.geonames.org/2759794",2759794,52.37403,4.88969
"Alma Data","A Anvers","be","Belgium$dAntwerp,","Belgium","no value","Antwerp,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204472","http://sws.geonames.org/2803138",2803138,51.21989,4.40346
"Alma Data","A Avignon","fr","France$dAvignon,","France","no value","Avignon,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1209584","http://sws.geonames.org/3035681",3035681,43.94834,4.80892
"Alma Data","A Basle","sz","Switzerland$dBasel,","Switzerland","no value","Basel,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1205402","http://sws.geonames.org/2661604",2661604,47.55839,7.57327
"Alma Data","A Berlin","gw","Germany$dBerlin,","Germany","no value","Berlin,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204829","http://sws.geonames.org/2950159",2950159,52.52437,13.41053
"Alma Data","A Bésiers","fr","France$dBéziers,","France","no value","Béziers,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1206086","http://www.geonames.org/3032833",3032833,43.34122,3.21402
"Alma Data","A Bordeaux","fr","France$dBordeaux,","France","no value","Bordeaux,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1758553","https://sws.geonames.org/6455058",6455058,44.83778,-0.57944
"Alma Data","A Bruxelles","be","Belgium$dBrussels,","Belgium","no value","Brussels,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204415","http://sws.geonames.org/2800866",2800866,50.85045,4.34878
"Alma Data","A Carpentras","fr","France$dCarpentras,","France","no value","Carpentras,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1215865","http://www.geonames.org/3028542",3028542,44.05507,5.04813
"Alma Data","A Chaalons","fr","France$dChâlons-sur-Marne,","France","no value","Châlons-sur-Marne,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1892264","https://sws.geonames.org/6618295",6618295,48.9564,4.3649
"Alma Data","A Chateaugontier","fr","France$dChâteau-Gontier,","France","no value","Château-Gontier,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1257141","http://www.geonames.org/3026273",3026273,47.82872,-0.70265
"Alma Data","A Chaumont","fr","France$dChaumont (Haute-Marne)","France","no value","Chaumont (Haute-Marne),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312340","http://www.geonames.org/3025892",3025892,48.11121,5.14134
"Alma Data","A Cologne","gw","Germany$dCologne,","Germany","no value","Cologne,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1208521","http://sws.geonames.org/2886242",2886242,50.93333,6.95
"Alma Data","A Dijon","fr","France$dDijon,","France","no value","Dijon,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1205475","https://sws.geonames.org/6453767",6453767,47.32306,5.04194
"Alma Data","À Erlang","gw","Germany$dErlangen,","Germany","no value","Erlangen,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1207725","http://sws.geonames.org/2929567",2929567,49.59099,11.00783
"Alma Data","A Geneve","sz","Switzerland$dGeneva,","Switzerland","no value","Geneva,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1211819","http://sws.geonames.org/2660646",2660646,46.20222,6.14569
"Alma Data","A Geneve","sz","Switzerland$dGeneva,","Switzerland","no value","Geneva,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1211819","http://sws.geonames.org/2660646",2660646,46.20222,6.14569
